track_id,eventID,momentum,nSciFiHits,scifi_x,scifi_z,scifi_dxdy,scifi_slope_dxdz,scifi_slope_dydz,x_position,y_position,nUTHits,ut_x_max,ut_x_min,ut_y_begin,ut_y_end,ut_z_position,isDownstreamTrack
0,504471,5909.8175558693565,0,"[-1055.6099853515625, -1089.4949951171875, -1077.730224609375, -1112.090087890625, -1241.3900146484375, -1277.3145751953125, -1263.5322265625, -1299.7900390625, -1432.5899658203125, -1469.9976806640625, -1453.956787109375, -1491.739990234375]","[7826.09912109375, 7895.89990234375, 7966.099609375, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.06930002570152283,0.02183958701789379,-154.24508666992188,51.72188186645508,4,"[-152.33782958984375, -152.10227966308594, -166.40516662597656, -175.56301879882812]","[-152.33782958984375, -160.59124755859375, -174.89413452148438, -175.56301879882812]","[-0.9000007510185242, 0.6093901991844177, -2.9249188899993896, -0.9000007510185242]","[96.5, 97.63875579833984, 94.10444641113281, 96.5]","[2321.846435546875, 2376.846435546875, 2601.846435546875, 2656.846435546875]",True
1,504471,5538.734419853451,0,"[-878.1100463867188, -916.034912109375, -893.4990844726562, -931.6650390625, -1054.4849853515625, -1094.6395263671875, -1069.4486083984375, -1109.840087890625, -1236.3900146484375, -1278.5693359375, -1250.2315673828125, -1292.7900390625]","[7826.09912109375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.0422525517642498,0.028734125196933746,-89.85020446777344,68.14271545410156,4,"[-88.06612396240234, -88.94129180908203, -96.66242218017578, -102.84571838378906]","[-88.06612396240234, -97.43025970458984, -100.98534393310547, -102.84571838378906]","[46.900001525878906, -4.91648006439209, 38.63795852661133, -0.9000007510185242]","[96.5, 92.11288452148438, 88.04920959472656, 96.5]","[2306.846435546875, 2376.846435546875, 2586.846435546875, 2656.846435546875]",True
2,504471,11578.541378436521,0,"[-683.9099731445312, -696.0476684570312, -704.0581665039062, -716.1099853515625, -802.281982421875, -810.0615844726562, -822.8350219726562, -898.5900268554688, -911.5477905273438, -919.2973022460938, -932.1650390625]","[7826.09912109375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.05448562279343606,0.0022016277071088552,-123.82113647460938,4.228924751281738,4,"[-122.27497100830078, -117.39584350585938, -137.10975646972656, -140.53672790527344]","[-122.27497100830078, -125.88481903076172, -145.59872436523438, -140.53672790527344]","[-0.9000007510185242, -2.4270286560058594, -0.36190375685691833, -0.9000007510185242]","[96.5, 94.60233306884766, 96.6674575805664, 96.5]","[2321.846435546875, 2376.846435546875, 2601.846435546875, 2656.846435546875]",True
3,504471,15305.07071989837,0,"[-538.0150146484375, -569.1196899414062, -563.3599853515625, -620.760009765625, -653.81201171875, -612.9866333007812, -646.489990234375, -705.0149536132812, -740.1455078125, -695.5457763671875, -731.0899658203125]","[7826.09912109375, 7895.89990234375, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8984375, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.043620944023132324,0.032727595418691635,-97.63068389892578,76.52764892578125,4,"[-96.42757415771484, -97.4310073852539, -101.42494201660156, -111.03697204589844]","[-96.42757415771484, -105.91997528076172, -109.91390991210938, -111.03697204589844]","[-0.9000007510185242, -4.173725605010986, 2.760113000869751, -0.9000007510185242]","[96.5, 92.85563659667969, 99.78947448730469, 96.5]","[2321.846435546875, 2376.846435546875, 2601.846435546875, 2656.846435546875]",True
4,504471,7032.182275716243,0,"[-503.8900146484375, -525.9755859375, -517.9450073242188, -540.5150146484375, -624.510009765625, -648.1956176757812, -638.7848510742188, -662.7099609375, -749.6849975585938, -774.4761352539062, -763.4541625976562, -788.510009765625]","[7826.09912109375, 7895.8994140625, 7966.10009765625, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8984375, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.009546192362904549,0.0146722961217165,-14.40046215057373,33.42900085449219,4,"[-14.08142375946045, -13.134469985961914, -13.288887977600098, -17.26552391052246]","[-14.08142375946045, -17.457395553588867, -17.611812591552734, -17.26552391052246]","[-0.8999992609024048, 0.6082150936126709, -2.0503921508789062, -0.8999992609024048]","[48.70000076293945, 50.01947021484375, 47.360862731933594, 48.70000076293945]","[2313.153564453125, 2368.153564453125, 2593.153564453125, 2648.153564453125]",True
5,504471,19885.188130807743,0,"[-464.06500244140625, -483.7398376464844, -464.0699768066406, -484.5350036621094, -552.7022705078125, -552.3599853515625, -600.2899780273438, -623.6220703125, -598.5768432617188, -621.760009765625]","[7826.09912109375, 7895.8994140625, 7966.10009765625, 8035.90087890625, 8577.8994140625, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, 0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.0404941588640213,0.019805889576673508,-92.05342102050781,40.72578811645508,4,"[-90.50102233886719, -88.75470733642578, -98.5794906616211, -104.42528533935547]","[-90.50102233886719, -97.2436752319336, -107.0684585571289, -104.42528533935547]","[-0.8999992609024048, -4.932804107666016, 3.0090582370758057, -0.9000007510185242]","[48.70000076293945, 92.0965576171875, 100.03842163085938, 96.5]","[2313.153564453125, 2376.846435546875, 2601.846435546875, 2656.846435546875]",False
6,504471,22705.707565474142,0,"[-433.4900207519531, -464.4464416503906, -421.1014709472656, -452.08502197265625, -494.7650146484375, -528.108642578125, -480.4774169921875, -514.1099853515625, -557.6099853515625, -593.1812744140625, -541.4393310546875, -577.2149658203125]","[7826.09912109375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.03860233724117279,0.03580496832728386,-88.51969146728516,81.86499786376953,4,"[-86.84867095947266, -88.75470733642578, -97.56318664550781, -100.36087036132812]","[-86.84867095947266, -97.2436752319336, -106.05216217041016, -100.36087036132812]","[46.900001525878906, -4.932804107666016, 86.54174041748047, -0.9000007510185242]","[96.5, 92.0965576171875, 183.57110595703125, 96.5]","[2306.846435546875, 2376.846435546875, 2593.153564453125, 2656.846435546875]",True
7,504471,9851.97294156246,0,"[-372.3399963378906, -397.79278564453125, -373.75128173828125, -399.2900085449219, -460.46002197265625, -487.504150390625, -460.953125, -488.1600036621094, -551.1099853515625, -579.6598510742188, -550.2228393554688, -578.9649658203125]","[7826.09912109375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.008731285110116005,0.0237555094063282,-13.224270820617676,56.034637451171875,4,"[-12.863974571228027, -9.714774131774902, -13.909774780273438, -15.76712417602539]","[-12.863974571228027, -14.037699699401855, -18.23270034790039, -15.76712417602539]","[46.900001525878906, 48.29161834716797, 45.87787628173828, 46.900001525878906]","[96.5, 97.70287322998047, 95.28913116455078, 96.5]","[2306.846435546875, 2361.846435546875, 2586.846435546875, 2641.846435546875]",True
8,504471,14989.019725695796,0,"[-339.3899841308594, -357.961181640625, -340.5499572753906, -359.3599853515625, -405.4150085449219, -424.99127197265625, -405.4468994140625, -425.760009765625, -472.69000244140625, -493.77801513671875, -472.47698974609375, -493.5350036621094]","[7826.09912109375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.01791686750948429,0.017398906871676445,-37.41395950317383,40.112667083740234,4,"[-36.74472427368164, -36.737762451171875, -37.545230865478516, -42.73832321166992]","[-36.74472427368164, -41.06068420410156, -41.86815643310547, -42.73832321166992]","[-0.8999992609024048, 2.6732354164123535, -4.172547340393066, -0.8999992609024048]","[48.70000076293945, 52.08449172973633, 45.23870849609375, 48.70000076293945]","[2313.153564453125, 2368.153564453125, 2593.153564453125, 2648.153564453125]",True
9,504471,26774.692282434244,0,"[-195.73500061035156, -205.8624267578125, -196.97357177734375, -206.9650115966797, -232.79000854492188, -243.20452880859375, -233.66822814941406, -244.29000854492188, -270.614990234375, -281.8013610839844, -271.0103454589844, -282.2099914550781]","[7826.09912109375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.01015649363398552,0.00896599143743515,-26.336894989013672,24.774614334106445,3,"[-25.974973678588867, -24.23641014099121, -26.163410186767578]","[-25.974973678588867, -28.559335708618164, -30.48633575439453]","[-0.8999992609024048, 1.5795092582702637, -3.176766872406006]","[48.70000076293945, 50.99076461791992, 46.23448944091797]","[2313.153564453125, 2368.153564453125, 2593.153564453125]",False
